id,name_th,name_en,province,region,style,budget_range,crowd_level,hidden_gem_score,tags,description
place_001,,ENDURO MADNESS DIRT BIKE TOURS PATTAYA THAILAND,Chonburi,central,adventure,mid,7,0.37,"hidden_gem, chonburi, adventure","ENDURO MADNESS offers guided off-road dirt bike tours through Chonburi's rugged countryside, catering to both beginners and experienced riders with well-maintained bikes and safety briefings. With a near-perfect rating of 4.9 from over 400 reviews, it is consistently ranked among the top adventure activities in the Pattaya�Chonburi region."
place_002,,Thung Makham Miami Beach Chumphon,Chumphon,south,beach,low,7,0.55,"hidden_gem, chumphon, beach","Thung Makham beach in Chumphon is a sweeping arc of soft sand flanked by casuarina trees, earning its informal nickname from locals who compare its long, open shoreline to Miami Beach. It remains largely undeveloped and uncrowded, making it one of the most unspoiled coastal stretches in Chumphon for travellers seeking quiet and natural beauty."
place_003,,Khao Kaen Chan,Ratchaburi,central,scenic,low,7,0.33,"hidden_gem, ratchaburi, mountain, scenic","Khao Kaen Chan is a historically significant hill in Ratchaburi topped by ancient Buddhist chedis and cave shrines that date back to the Dvaravati period, offering both spiritual significance and sweeping views of the surrounding plains. The site is rarely crowded, making it a rewarding destination for history enthusiasts and hikers who prefer authentic heritage over tourist infrastructure."
place_004,,Heavenly Valley,Ratchaburi,central,nature,low,7,0.34,"hidden_gem, ratchaburi, nature","Nestled in Ratchaburi, Heavenly Valley is a scenic spot. It features lush greenery."
place_005,,The Old Town Ratchaburi,Ratchaburi,central,historical,low,7,0.35,"hidden_gem, ratchaburi, old town, historical","A revitalised century-old market district in central Ratchaburi, The Old Town Ratchaburi features vintage shophouses converted into artisan caf�s, boutique stores, and photogenic alleyways that blend heritage with modern creativity. Open primarily on weekends and set beside the Mae Klong River, it is an emerging local landmark popular with younger Thais seeking street food and a nostalgic atmosphere."
place_006,,Wat Khlong Suwankhiri,Ratchaburi,central,historical,low,7,0.36,"hidden_gem, ratchaburi, temple, historical","Nestled near a river, Wat Khlong Suwankhiri is a serene temple. Natural surroundings enhance its beauty."
place_007,,Chonburi Mountain Camp,Chonburi,central,scenic,low,7,0.3,"hidden_gem, chonburi, mountain, camping, scenic","Naturally scenic, Chonburi Mountain Camp is a 4.4-rated campground. Surrounded by mountains, it has 412 reviews."
place_008,,G&G Ratchaburi,Ratchaburi,central,cafe,mid,7,0.41,"hidden_gem, ratchaburi, cafe","Located downtown, G&G Ratchaburi serves coffee. Rated 4.5/5, it's a popular cafe."
place_009,,Ratchaburi Grand Canyon,Ratchaburi,central,nature,low,7,0.16,"hidden_gem, ratchaburi, nature",Naturally formed Ratchaburi Grand Canyon boasts unique rock formations. Stunning views attract visitors with 4.2/5 rating.
place_010,,Khao Sam Muk Viewpoint,Chonburi,central,scenic,low,7,0.39,"hidden_gem, chonburi, viewpoint, mountain, scenic","A 45-metre limestone hill between Ang Sila and Bang Saen Beach, Khao Sam Muk is home to over 300 wild Rhesus monkeys and a hilltop Chinese shrine of Mazu offering panoramic views of the Gulf of Thailand. Local legend tells of a young woman named Sam Muk whose spirit now protects the area's fishermen � visitors traditionally offer kites at her shrine to give thanks for granted wishes."
place_011,,Khao Dinsor Viewpoint,Chumphon,south,scenic,low,5,0.5,"hidden_gem, chumphon, viewpoint, mountain, scenic","Perched atop a hill, Khao Dinsor offers panoramic views. Surrounded by lush greenery, it is a 4.5-star scenic spot."
place_012,,Laem Hua Mong-Kho Kwang Viewpoint,Chumphon,south,scenic,low,5,0.47,"hidden_gem, chumphon, viewpoint, scenic","A coastal headland viewpoint in Chumphon offering sweeping panoramas over the Gulf of Thailand, Laem Hua Mong is prized for its dramatic seascape where rocky promontories meet turquoise water, best appreciated at sunrise. The site sees relatively few foreign visitors, preserving a genuine sense of discovery for travellers exploring Chumphon's lesser-known southern coastline."
